Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Laos,0.2,U,0.2,U,0.1,U,0.2,U,0.02,U,0.4,U,0.2,U,0.2,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.07,U
Lebanon,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Timor-Leste,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Malaysia,0,C,0,C,0.2,U,0,C,0,C,0.35,U,0.2,U,0.2,U,0,C,0,C,0,C,0,C,0.1,U,0.08,U,0.14,U
Mongolia,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.06,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U
Myanmar,0.03,U,0.15,U,0.06,U,0.03,U,0.15,U,0.15,U,0.05,U,0.05,U,0.03,U,0.03,U,0.03,U,0.03,U,0.03,U,0.03,U,0.03,U
Nepal,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.15,U,0.15,U,0.15,U,0.05,U,0.05,U,0.05,U,0.1,U,0.05,U,0.15,U,0.15,U
Oman,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U
Pakistan,0.03,U,0.03,U,0.03,U,0.03,U,0.03,U,0.2,U,0.16,U,0.14,U,0.03,U,0.03,U,0.03,U,0.12,U,0.11,U,0.16,U,0.19,U
Philippines,0,C,0.07,U,0.03,U,0,C,0.03,U,0.15,U,0.15,U,0.15,U,0.01,U,0.01,U,0.01,U,0,C,0.09,U,0.09,U,0.05,U
Qatar,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U
Saudi Arabia,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.07,U
Singapore,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Sri Lanka,0,C,0,C,0.15,C,0,C,0,C,0.13,C,0,U,0,C,0,C,0,C,0,C,0,C,0,X,0.13,C,0.16,U
Syrian Arab Republic,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Thailand,0,U,0.02,U,0.01,C,0,U,0,U,0.05,C,0.05,C,0.05,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.05,U
Turkey,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0.1,U,0,C,0,C,0,C
United Arab Emirates,0.05,C,0.05,C,0.04,U,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,U,0.05,C,0.05,C,0.05,U
Viet Nam,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Yemen,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.06,U
Australia,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Cook Islands,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Fiji Islands,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.22,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.32,U,0.05,U,0.07,U,0.16,U
French Polynesia,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
New Caledonia,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
New Zealand,0,C,0.02,U,0,C,0,C,0.02,U,0.05,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Papua New Guinea,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.26,U,0.1,U,0.1,U,0,C,0,C,0,C,0,C,0,C,0.01,U,0.04,U
Samoa,0.08,C,0.08,U,0.08,U,0.08,C,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.08,U,0.09,U
Solomon Islands,0,C,0.1,U,0.1,U,0,C,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U,0.1,U
Tonga,0,C,0,C,0.15,U,0,C,0,C,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.14,U,0.13,U
Vanuatu,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0.15,U,0,C,0,C,0,C,0,C,0.1,C,0.1,C,0.11,U
Albania,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Austria,0,C,0.01,U,0,C,0,C,0,C,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Belgium,0.01,U,0,C,0,C,0,C,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,X
